Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
34,2,1153,1,1,2,3,1,110,1,1,94,3,2,4,2,1,4325,17736,1,0,0,15,3,3,80,0,5,2,3,5,2,1,3,0
47,2,249,2,2,2,2,1,903,3,0,35,3,2,7,4,1,4537,17783,0,0,1,22,4,1,80,1,8,2,3,7,6,7,7,0
33,2,10170,1,25,3,3,1,1108,1,1,55,2,1,6,2,2,2313,2993,4,0,1,20,4,2,80,0,5,0,3,2,2,2,2,1
20,2,1097,1,11,3,3,1,1016,4,0,98,2,1,6,1,2,2600,18275,1,0,1,15,3,1,80,0,1,2,3,1,0,0,0,1
29,2,896,1,18,1,3,1,315,3,1,86,2,1,6,4,2,2389,14961,1,0,1,13,3,3,80,0,4,3,2,4,3,0,1,1
30,2,740,2,1,3,1,1,1562,2,1,64,2,2,7,1,1,9714,5323,1,0,0,11,3,4,80,1,10,4,3,10,8,6,7,1
44,0,111,1,17,3,1,1,1206,4,1,74,1,1,6,3,2,2290,4279,2,0,0,13,3,4,80,0,6,3,3,0,0,0,0,0
41,0,267,2,10,2,1,1,599,4,1,56,3,2,7,4,2,6230,13430,7,0,0,14,3,4,80,0,16,3,3,14,3,1,10,0
40,1,791,1,2,2,3,1,807,3,0,38,4,2,0,2,1,4244,9931,1,0,0,24,4,4,80,1,8,2,3,8,7,3,7,0
27,2,608,1,1,2,1,1,725,3,0,68,3,3,4,1,1,7412,6009,1,0,0,11,3,4,80,0,9,3,3,9,7,0,7,0
37,2,1017,1,1,2,3,1,340,3,0,83,2,1,6,1,1,3920,18697,2,0,0,14,3,1,80,1,17,2,2,3,1,0,2,0
36,2,660,1,15,3,4,1,1052,1,1,81,3,2,2,3,0,4834,7858,7,0,0,14,3,2,80,1,9,3,2,1,0,0,0,1
23,2,310,1,10,1,3,1,784,1,1,79,4,1,6,3,2,3505,19630,1,0,0,18,3,4,80,0,2,3,3,2,2,0,2,0
33,2,465,1,2,2,1,1,328,1,0,39,3,1,2,1,1,2707,21509,7,0,0,20,4,1,80,0,13,3,4,9,7,1,7,1
19,2,489,0,2,2,5,1,566,1,1,52,2,1,1,4,2,2564,18437,1,0,0,12,3,3,80,0,1,3,4,1,0,0,0,1
31,1,1445,1,1,5,1,1,1459,3,0,100,4,3,4,2,2,7446,8931,1,0,0,11,3,1,80,0,10,2,3,10,8,4,7,1
34,1,2340,1,9,4,1,1,1807,4,1,93,3,2,2,1,1,5346,6208,4,0,0,17,3,3,80,1,11,3,2,7,1,0,7,1
36,0,894,1,1,4,3,1,1662,4,0,33,2,2,4,3,1,4374,15411,0,0,0,15,3,3,80,0,4,6,3,3,2,1,2,0
23,2,977,1,10,3,5,1,1592,4,1,45,4,1,6,3,1,2073,12826,2,0,0,16,3,4,80,1,4,2,3,2,2,2,2,0
28,1,1496,2,1,3,5,1,1486,1,1,92,3,1,8,3,1,2909,15747,3,0,0,15,3,4,80,1,5,3,4,3,2,1,2,1
35,1,662,2,18,4,2,1,1380,4,0,67,3,2,7,3,1,4614,23288,0,0,1,18,3,3,80,1,5,0,2,4,2,3,2,1
18,0,287,1,5,2,1,1,1012,2,1,73,3,1,6,4,2,1051,13493,1,0,0,15,3,4,80,0,0,2,3,0,0,0,0,0
45,2,1449,2,2,3,2,1,1277,1,0,94,1,5,3,2,2,18824,2493,2,0,1,16,3,1,80,0,26,2,3,24,10,1,11,1
29,2,942,1,15,1,1,1,1202,2,0,69,1,1,6,4,1,2168,26933,0,0,1,18,3,1,80,1,6,2,2,5,4,1,3,0
31,1,667,2,1,4,1,1,1427,2,0,50,1,1,8,3,2,1359,16154,1,0,0,12,3,2,80,0,1,3,3,1,0,0,0,1
19,0,504,1,10,3,3,1,1248,1,0,96,2,1,6,2,2,1859,6148,1,0,1,25,4,2,80,0,1,2,4,1,1,0,0,1
25,2,977,1,2,1,4,1,1992,4,1,57,3,1,2,3,0,3977,7298,6,0,1,19,3,3,80,1,7,2,2,2,2,0,2,0
26,2,1357,1,25,3,1,1,55,1,1,48,1,1,2,3,2,2293,10558,1,0,0,12,3,3,80,0,1,2,2,1,0,0,1,1
23,1,638,2,9,3,2,1,2023,4,1,33,3,1,8,1,1,1790,26956,1,0,0,19,3,1,80,1,1,3,2,1,0,1,0,1
40,2,299,2,25,4,2,1,1318,4,1,57,2,3,7,2,2,9094,17235,2,0,1,12,3,3,80,0,9,2,3,5,4,1,0,1
26,1,575,1,3,1,5,1,510,3,1,73,3,1,6,1,2,3102,6582,0,0,0,22,4,3,80,0,7,2,3,6,4,0,4,1
29,2,136,1,1,3,1,1,1954,1,1,89,3,2,0,1,1,5373,6225,0,0,0,12,3,1,80,1,6,5,2,5,3,0,2,0
41,2,1356,2,20,2,2,1,248,2,0,70,3,1,8,2,2,3140,21728,1,0,1,22,4,4,80,0,4,5,2,4,3,0,2,1
42,0,495,1,2,1,1,1,1334,3,1,37,3,4,3,3,1,17861,26582,0,0,1,13,3,4,80,0,21,3,2,20,8,2,10,0
58,1,781,1,2,1,1,1,918,4,1,57,2,1,2,4,0,2380,13384,9,0,1,14,3,4,80,1,3,3,2,1,0,0,0,1
29,2,992,1,1,3,5,1,300,3,1,85,3,1,6,3,2,2058,19757,0,0,0,14,3,4,80,0,7,1,2,6,2,1,5,1
28,2,1404,1,17,3,5,1,1960,3,1,32,2,1,2,4,0,2367,18779,5,0,0,12,3,1,80,1,6,2,2,4,1,0,3,1
52,2,1030,2,50,3,1,1,1319,2,1,64,3,3,7,2,2,8446,21534,9,0,1,19,3,3,80,0,10,2,2,8,7,7,7,1
30,1,1312,1,23,3,1,1,159,1,1,96,1,1,6,3,0,2613,22310,1,0,0,25,4,3,80,3,10,2,2,10,7,0,9,0
38,2,322,2,7,2,3,1,382,1,0,44,4,2,7,1,0,5605,19191,1,0,1,24,4,3,80,1,8,3,3,8,0,7,7,0
29,2,694,1,1,3,1,1,1264,4,0,87,2,4,5,4,0,16124,3423,3,0,0,14,3,2,80,2,9,2,2,7,7,1,7,0
50,2,813,1,17,5,1,1,1656,4,0,50,2,3,5,1,0,13269,21981,5,0,0,15,3,3,80,3,19,3,3,14,11,1,11,0
58,2,605,2,21,3,1,1,1938,4,0,72,3,4,3,4,1,17875,11761,4,0,1,13,3,3,80,1,29,2,2,1,0,0,0,0
52,2,723,1,8,4,3,1,433,3,1,85,2,2,6,2,1,4941,17747,2,0,0,15,3,1,80,0,11,3,2,8,2,7,7,1
27,2,1420,2,2,1,2,1,667,3,1,85,3,1,8,1,0,3041,16346,0,0,0,11,3,2,80,1,5,3,3,4,3,0,2,1
44,2,921,1,2,3,1,1,1703,3,0,96,4,3,0,4,1,7879,14810,1,0,1,19,3,2,80,1,9,2,3,8,7,6,7,0
30,2,202,2,2,1,5,1,508,3,1,72,3,1,8,2,1,2476,17434,1,0,0,18,3,1,80,1,1,3,3,1,0,0,0,0
24,2,1448,2,1,1,5,1,554,1,0,62,3,1,8,2,2,3202,21972,1,0,1,16,3,2,80,0,6,4,3,5,3,1,4,1
34,0,1362,2,190,3,2,1,502,1,1,67,4,2,7,4,2,5304,4652,8,0,1,13,3,2,80,0,9,3,2,5,2,0,4,1
53,2,970,1,7,3,1,1,730,3,1,59,4,4,5,3,1,14814,13514,3,0,0,19,3,3,80,0,32,3,3,5,1,1,3,0
40,2,1308,1,14,3,3,1,1128,3,1,44,2,5,5,3,2,19626,17544,1,0,0,14,3,1,80,0,21,2,4,20,7,4,9,0
53,2,607,1,2,5,5,1,1572,3,0,78,2,3,4,4,1,10169,14618,0,0,0,16,3,2,80,1,34,4,3,33,7,1,9,1
35,2,670,1,100,4,3,1,1587,1,0,51,3,2,0,3,2,6142,4223,3,0,1,16,3,3,80,0,10,4,3,5,2,0,4,0
47,0,543,2,2,4,2,1,1731,3,1,87,3,2,7,2,1,4978,3536,7,0,0,11,3,4,80,1,4,3,1,1,0,0,0,0
40,2,1329,1,7,3,1,1,1649,1,1,73,3,1,2,1,2,2166,3339,3,0,1,14,3,2,80,0,10,3,1,4,2,0,3,1
33,2,461,1,13,1,1,1,995,2,0,53,3,1,6,4,2,3452,17241,3,0,0,18,3,1,80,0,5,4,3,3,2,0,2,0
32,1,967,2,8,3,2,1,207,2,0,43,3,3,7,4,2,8998,15589,1,0,0,14,3,4,80,0,9,2,3,9,8,3,7,0
28,2,1157,1,2,4,3,1,440,1,1,84,1,1,6,4,1,3464,24737,5,0,1,13,3,4,80,0,5,4,2,3,2,2,2,1
32,2,1033,1,9,3,3,1,190,1,0,41,3,1,2,1,2,4200,10224,7,0,0,22,4,1,80,0,10,2,4,5,4,0,4,1
44,1,429,1,1,2,3,1,1792,3,1,99,3,1,6,2,0,2342,11092,1,0,1,12,3,3,80,3,6,2,2,5,3,2,3,1
35,1,130,1,25,4,1,1,881,4,0,96,3,1,6,2,0,2022,16612,1,0,1,19,3,1,80,1,10,3,2,10,2,7,8,1
36,2,1218,2,9,4,1,1,27,3,1,82,2,1,8,1,2,3407,6986,7,0,0,23,4,2,80,0,10,4,3,5,3,0,3,1
32,0,953,1,5,4,5,1,1764,2,1,65,3,1,6,2,2,2718,17674,2,0,0,14,3,2,80,0,12,3,3,7,7,0,7,0
56,2,1162,1,24,2,1,1,1907,1,1,97,3,1,2,4,2,2587,10261,1,0,0,16,3,4,80,0,5,3,3,4,2,1,0,1
21,2,337,2,7,1,2,1,1780,2,1,31,3,1,8,2,2,2679,4567,1,0,0,13,3,2,80,0,1,3,3,1,0,1,0,1
36,2,311,1,7,3,1,1,1659,1,1,77,3,1,2,2,2,2013,10950,2,0,0,11,3,3,80,0,15,4,3,4,3,1,3,0
27,0,691,1,9,3,3,1,218,4,1,57,3,1,6,2,0,2024,5970,6,0,0,18,3,4,80,1,6,1,1,2,2,2,2,0
37,2,1189,2,30,3,1,1,152,3,1,87,3,3,7,4,2,7428,14506,2,0,0,12,3,1,80,0,12,3,3,5,3,1,3,0
30,1,1090,1,5,3,3,1,1017,2,0,60,3,1,2,2,2,2422,25725,0,0,0,17,3,1,80,0,4,3,3,3,2,1,2,1
39,1,945,1,22,3,3,1,1043,4,0,82,3,3,4,1,2,10880,5083,1,0,1,13,3,3,80,0,21,2,3,21,6,2,8,0
29,2,441,1,8,1,4,1,1544,3,0,39,1,2,0,1,1,9715,7288,3,0,0,13,3,3,80,1,9,3,3,7,7,0,7,0
33,2,392,2,2,4,3,1,1670,4,1,93,3,2,7,4,0,5505,3921,1,0,0,14,3,3,80,2,6,5,3,6,2,0,4,0
22,1,1256,1,3,4,1,1,1203,3,1,48,2,1,6,4,1,2853,4223,0,0,1,11,3,2,80,1,1,5,3,0,0,0,0,1
28,2,1485,1,12,1,1,1,1175,3,0,79,3,1,2,4,1,2515,22955,1,0,1,11,3,4,80,0,1,4,2,1,1,0,0,1
23,2,507,1,20,1,1,1,1533,1,1,97,3,2,2,3,2,2272,24812,0,0,0,14,3,2,80,0,5,2,3,4,3,1,2,0
50,0,881,1,2,4,1,1,905,1,1,98,3,4,3,1,0,17924,4544,1,0,0,11,3,4,80,1,31,3,3,31,6,14,7,0
37,2,1141,1,11,2,3,1,1033,1,0,61,1,2,0,2,1,4777,14382,5,0,0,15,3,1,80,0,15,2,1,1,0,0,0,1
52,2,1325,1,11,4,1,1,813,4,0,82,3,2,2,3,1,3149,21821,8,0,0,20,4,2,80,1,9,3,3,5,2,1,4,0
31,1,561,1,3,3,1,1,1537,4,0,33,3,1,6,3,2,4084,4156,1,0,0,12,3,1,80,0,7,2,1,7,2,7,7,1
19,1,602,2,1,1,5,1,235,3,0,100,1,1,8,1,2,2325,20989,0,0,0,21,4,1,80,0,1,5,4,0,0,0,0,1
42,2,201,1,1,4,1,1,517,2,0,95,3,1,2,1,0,2576,20490,3,0,0,16,3,2,80,1,8,5,3,5,2,1,2,0
54,2,821,1,5,2,3,1,522,1,1,86,3,5,5,1,1,19406,8509,4,0,0,11,3,3,80,1,24,4,2,4,2,1,2,0
39,2,895,2,5,3,5,1,42,4,1,56,3,2,8,4,1,2086,3335,3,0,0,14,3,3,80,1,19,6,4,1,0,0,0,1
39,2,11220,1,6,3,3,1,932,4,1,70,3,1,2,1,1,2404,4303,7,0,1,21,4,4,80,0,8,2,1,2,2,2,2,1
32,1,1316,1,2,2,1,1,1235,4,0,38,3,2,6,3,2,4998,2338,4,0,1,14,3,4,80,0,10,2,3,8,7,0,7,0
49,2,1184,2,11,3,2,1,840,3,0,43,3,3,7,4,1,7654,5860,1,0,0,18,3,1,80,2,9,3,4,9,8,7,7,1
35,1,1182,2,11,2,2,1,1137,4,1,54,3,2,7,4,0,4968,18500,1,0,0,11,3,4,80,1,5,3,3,5,2,0,2,0
32,1,379,2,5,2,1,1,889,2,1,48,3,2,7,2,1,6524,8891,1,0,0,14,3,4,80,1,10,3,3,10,8,5,3,0
40,2,616,1,2,2,1,1,1802,3,0,99,3,1,2,1,1,3377,25605,4,0,0,17,3,4,80,1,7,5,2,4,3,0,2,0
41,2,1085,1,2,4,1,1,927,2,0,57,1,1,2,4,0,2778,17725,4,0,1,13,3,3,80,1,10,1,2,7,7,1,0,1
26,2,1449,1,16,4,3,1,394,1,1,45,3,1,2,2,0,2373,14180,2,0,1,13,3,4,80,1,5,2,3,3,2,0,2,1
42,2,1396,1,6,3,3,1,1911,3,1,83,3,3,5,1,1,13348,14842,9,0,0,13,3,2,80,1,18,3,4,13,7,5,7,0
24,2,813,1,1,3,3,1,45,2,1,61,3,1,6,4,1,2293,3020,2,0,1,16,3,1,80,1,6,2,2,2,0,2,0,1
38,2,10090,2,2,2,1,1,1355,2,0,31,3,2,7,1,0,6893,19461,3,0,0,15,3,4,80,1,11,3,3,7,7,1,7,0
39,0,592,1,2,3,1,1,1458,1,0,54,2,1,2,1,2,3646,17181,2,0,1,23,4,2,80,0,11,2,4,1,0,0,0,1
31,1,754,2,26,4,2,1,1967,1,1,63,3,2,7,4,1,5617,21075,1,0,1,11,3,3,80,0,10,4,3,10,7,0,8,1
44,2,661,1,90,2,1,1,913,2,1,61,3,1,6,1,1,2559,7508,1,0,1,13,3,4,80,0,8,0,3,8,7,7,1,0
47,0,1169,1,14,4,5,1,1934,3,1,64,3,2,6,2,1,5467,2125,8,0,0,18,3,3,80,1,16,4,4,8,7,1,7,0
58,2,286,1,2,4,1,1,825,4,1,31,3,5,5,2,2,19246,25761,7,0,1,12,3,4,80,0,40,2,3,31,15,13,8,1
34,1,135,1,19,3,3,1,1285,3,0,46,3,2,2,2,0,4444,22534,4,0,0,13,3,3,80,2,15,2,4,11,8,5,10,0
28,2,654,1,1,2,1,1,741,1,0,67,1,1,6,2,2,2216,3872,7,0,1,13,3,4,80,0,10,4,3,7,7,3,7,1
44,2,1448,2,28,3,3,1,1039,4,0,53,4,4,7,4,1,13320,11737,3,0,1,18,3,3,80,1,23,2,3,12,11,11,11,0
29,2,121,2,27,3,2,1,283,2,0,35,3,3,7,4,1,7639,24525,1,0,0,22,4,4,80,3,10,3,2,10,4,1,9,1
51,2,6320,2,21,4,2,1,120,3,1,71,3,2,7,4,2,5441,8423,0,0,1,22,4,4,80,0,11,2,1,10,7,1,0,0
29,1,337,1,14,1,4,1,1421,3,0,84,3,3,0,4,2,7553,22930,0,0,1,12,3,1,80,0,9,1,3,8,7,7,7,1
44,2,1467,1,20,3,1,1,1475,4,1,49,3,1,6,2,2,3420,21158,1,0,0,13,3,3,80,0,6,3,2,5,2,1,3,0
29,2,224,1,1,4,5,1,1522,1,1,100,2,1,6,1,2,2362,7568,6,0,0,13,3,3,80,0,11,2,1,9,7,0,7,1
49,2,1495,1,5,4,5,1,1473,1,1,96,3,2,0,3,1,6651,21534,2,0,0,14,3,2,80,1,20,0,2,3,2,1,2,0
56,2,441,1,14,4,1,1,161,2,0,72,3,1,6,2,1,4963,4510,9,0,1,18,3,1,80,3,7,2,3,5,4,4,3,1
49,1,636,1,10,4,1,1,396,3,0,35,3,5,5,1,2,18665,25594,9,0,1,11,3,4,80,0,22,4,3,3,2,1,2,0
50,2,989,1,7,2,3,1,80,2,0,43,2,5,5,3,0,18740,16701,5,0,1,12,3,4,80,1,29,2,2,27,3,13,8,0
35,2,763,2,15,2,3,1,1645,1,1,59,1,2,7,4,0,5440,22098,6,0,1,14,3,4,80,2,7,2,2,2,2,2,2,1
58,2,289,1,2,3,5,1,977,4,1,51,3,1,6,3,2,2479,26227,4,0,0,24,4,1,80,0,7,4,3,1,0,0,0,1
35,2,1142,1,23,4,3,1,75,3,0,30,3,1,2,1,1,4014,16002,3,0,1,15,3,3,80,1,4,3,3,2,2,2,2,0
32,1,1125,1,160,1,1,1,33,2,0,72,1,1,6,1,2,3919,4681,1,0,1,22,4,2,80,0,10,5,3,10,2,6,7,1
47,1,719,2,27,2,1,1,785,2,0,77,4,2,7,3,2,6397,10339,4,0,1,12,3,4,80,0,8,2,3,5,4,1,3,1
31,1,703,2,2,3,1,1,1379,3,0,90,2,1,8,4,2,2785,11882,7,0,0,14,3,3,80,0,3,3,4,1,0,0,0,1
32,2,1259,1,20,4,1,1,1692,4,1,95,3,1,2,2,2,1393,24852,1,0,0,12,3,1,80,0,1,2,3,1,0,0,0,1
44,2,528,0,1,3,1,1,1683,3,0,44,3,1,1,4,0,3195,4167,4,0,1,18,3,1,80,3,8,2,3,2,2,2,2,0
36,2,1278,0,8,3,1,1,878,1,1,77,2,1,1,1,1,2342,8635,0,0,0,21,4,3,80,0,6,3,3,5,4,0,3,0
52,0,771,2,2,4,1,1,329,1,1,79,2,5,3,3,2,19068,21030,1,0,1,18,3,4,80,0,33,2,4,33,7,15,12,0
20,2,129,1,4,3,5,1,960,1,1,84,3,1,2,1,2,2973,13008,1,0,0,19,3,2,80,0,1,2,3,1,0,0,0,1
36,2,1223,1,8,3,5,1,83,3,0,59,3,3,0,3,0,10096,8202,1,0,0,13,3,2,80,3,17,2,3,17,14,12,8,0
40,0,1479,2,24,3,1,1,986,2,0,100,4,4,7,2,2,13194,17071,4,0,1,16,3,4,80,0,22,2,2,1,0,0,0,1
46,2,261,1,21,2,3,1,1821,4,0,66,3,2,0,2,1,8926,10842,4,0,0,22,4,4,80,1,13,2,4,9,7,3,7,1
45,2,1339,1,7,3,1,1,86,2,1,59,3,3,6,1,0,9724,18787,2,0,0,17,3,3,80,1,25,2,3,1,0,0,0,0
37,2,1462,1,11,3,3,1,1411,1,0,94,3,1,2,3,2,3629,19106,4,0,0,18,3,1,80,0,8,6,3,3,2,0,2,0
39,1,203,1,2,3,1,1,1127,1,1,84,3,4,0,4,0,12169,13547,7,0,0,11,3,4,80,3,21,4,3,18,7,11,5,1
26,2,920,0,20,2,3,1,1818,4,0,69,3,1,1,2,1,2148,6889,0,0,1,11,3,3,80,0,6,3,3,5,1,1,4,1
34,1,988,0,23,3,0,1,590,2,0,43,3,3,1,1,0,9950,11533,9,0,1,15,3,3,80,3,11,2,3,3,2,0,2,1
34,2,1111,2,8,2,1,1,808,3,0,93,3,2,7,1,1,6500,13305,5,0,0,17,3,2,80,1,6,1,3,3,2,1,2,0
31,1,874,1,15,3,3,1,1160,3,1,72,3,1,2,3,1,2610,6233,1,0,0,12,3,3,80,1,2,5,2,2,2,2,2,1
29,2,318,1,80,4,4,1,454,2,1,77,1,1,2,1,1,2119,4759,1,0,1,11,3,4,80,0,7,4,2,7,7,0,7,1
33,2,654,1,5,3,1,1,1099,4,1,34,2,3,0,4,0,7119,21214,4,0,0,15,3,3,80,1,9,2,3,3,2,1,2,0
38,1,888,0,10,4,0,1,1563,3,1,71,3,2,1,3,1,6077,14814,3,0,0,11,3,3,80,0,10,2,3,6,3,1,2,0
35,2,303,2,27,3,1,1,1797,3,1,84,3,2,7,4,2,5813,13492,1,0,1,18,3,4,80,0,10,2,3,10,7,7,7,1
45,1,1199,1,7,4,1,1,341,1,1,77,4,2,4,3,1,6434,5118,4,0,0,17,3,4,80,1,9,1,3,3,2,0,2,0
31,2,1003,2,5,3,5,1,1749,1,1,51,3,2,7,3,1,8346,20943,1,0,0,19,3,3,80,1,6,3,3,5,2,0,2,0
55,2,267,2,13,4,2,1,1372,1,1,85,4,4,7,3,2,13695,9277,6,0,1,17,3,3,80,0,24,2,2,19,7,3,8,1
34,0,967,1,16,4,5,1,1905,4,1,85,1,1,6,1,1,2307,14460,1,0,1,23,4,2,80,1,5,2,3,5,2,3,0,1
29,2,428,2,9,3,2,1,1752,2,0,52,1,1,8,2,2,2760,14630,1,0,0,13,3,3,80,0,2,3,3,2,2,2,2,1
30,1,334,2,26,4,2,1,299,3,0,52,2,2,7,1,2,6696,22967,5,0,0,15,3,3,80,0,9,5,2,6,3,0,1,1
42,2,622,1,2,4,1,1,659,3,0,81,3,2,0,4,1,4089,5718,1,0,0,13,3,2,80,2,10,4,3,10,2,2,2,0
45,1,306,2,26,4,1,1,684,1,0,100,3,2,7,1,1,4286,5630,2,0,0,14,3,4,80,2,5,4,3,1,1,0,0,1
29,2,341,2,1,3,3,1,896,2,0,48,2,1,8,3,0,2800,23522,6,0,1,19,3,3,80,3,5,3,3,3,2,0,2,1
22,2,3910,1,7,1,1,1,1878,4,1,75,3,1,6,2,2,2472,26092,1,0,1,23,4,1,80,0,1,2,3,1,0,0,0,1
29,1,115,2,13,3,5,1,1487,1,0,51,3,2,7,2,2,5765,17485,5,0,0,11,3,1,80,0,7,4,1,5,3,0,0,1
32,2,588,2,8,2,5,1,436,3,0,65,2,2,7,2,1,5228,24624,1,0,1,11,3,4,80,0,13,2,3,13,12,11,9,0
58,2,601,1,70,4,3,1,1360,3,0,53,2,3,4,1,1,10008,12023,7,0,1,14,3,4,80,0,31,0,2,10,9,5,9,1
38,2,437,2,16,3,1,1,1583,2,0,90,3,2,7,2,2,4198,16379,2,0,0,12,3,2,80,0,8,5,4,3,2,1,2,0
37,1,504,1,10,3,3,1,342,1,1,61,3,3,4,3,0,10048,22573,6,0,0,11,3,2,80,2,17,5,3,1,0,0,0,1
24,2,693,2,3,2,1,1,720,1,0,65,3,2,7,3,2,4577,24785,9,0,0,14,3,1,80,0,4,3,3,2,2,2,0,1
36,1,607,2,7,3,2,1,1362,1,0,83,4,2,7,1,1,4639,2261,2,0,0,16,3,4,80,1,17,2,2,15,7,6,13,0
